name;price;marketcap
Bitcoin;$30,433.89;$579.49B
Ethereum;$2,081.78;$251.47B
Tether;$0.9989;$75.67B
USD Coin;$1.00;$51.14B
BNB;$303.36;$49.53B
XRP;$0.4379;$21.17B
Cardano;$0.59;$19.91B
Solana;$56.20;$18.97B
Binance USD;$1.00;$17.75B
Dogecoin;$0.09021;$11.97B
Polkadot;$11.30;$11.16B
Avalanche;$34.58;$9.31B
Wrapped Bitcoin;$30,465.52;$8.67B
TRON;$0.07162;$7.02B
Shiba Inu;$0.00001262;$6.93B
Dai;$1.00;$6.45B
Polygon;$0.714;$5.68B
Cronos;$0.1957;$4.94B
Litecoin;$69.10;$4.86B
NEAR Protocol;$7.03;$4.84B
UNUS SED LEO;$4.98;$4.75B
FTX Token;$31.74;$4.33B
Bitcoin Cash;$207.53;$3.96B
Uniswap;$5.25;$3.63B
Stellar;$0.1429;$3.54B
